Household Size,Age,N
1,0 - 4,570
1,5 - 9,1031
1,10 - 14,269
1,15 - 19,1375
1,20 - 24,7449
1,25 - 29,21479
1,30 - 34,28556
1,35 - 39,27628
1,40 - 44,32653
1,45 - 49,39943
1,50 - 54,49717
1,55 - 59,50118
1,60 - 64,45691
1,65 - 69,43364
1,70 - 74,27015
1,75 - 79,29715
1,80 - 84,26727
1,85+,25715
2,0 - 4,7001
2,5 - 9,9763
2,10 - 14,12630
2,15 - 19,24778
2,20 - 24,37859
2,25 - 29,74736
2,30 - 34,112741
2,35 - 39,97618
2,40 - 44,102034
2,45 - 49,106772
2,50 - 54,121805
2,55 - 59,125556
2,60 - 64,126714
2,65 - 69,123608
2,70 - 74,74986
2,75 - 79,71304
2,80 - 84,55489
2,85+,46286
3,0 - 4,60446
3,5 - 9,56383
3,10 - 14,58623
3,15 - 19,86901
3,20 - 24,108054
3,25 - 29,124559
3,30 - 34,143561
3,35 - 39,137905
3,40 - 44,142697
3,45 - 49,148726
3,50 - 54,177394
3,55 - 59,181843
3,60 - 64,142306
3,65 - 69,105998
3,70 - 74,52046
3,75 - 79,43804
3,80 - 84,32426
3,85+,30795
4,0 - 4,91153
4,5 - 9,98412
4,10 - 14,96151
4,15 - 19,130841
4,20 - 24,170339
4,25 - 29,161998
4,30 - 34,154871
4,35 - 39,155044
4,40 - 44,149477
4,45 - 49,153319
4,50 - 54,180292
4,55 - 59,166699
4,60 - 64,102941
4,65 - 69,59773
4,70 - 74,28407
4,75 - 79,23077
4,80 - 84,17865
4,85+,18673
5,0 - 4,70536
5,5 - 9,78951
5,10 - 14,58909
5,15 - 19,61763
5,20 - 24,71120
5,25 - 29,77687
5,30 - 34,83305
5,35 - 39,95563
5,40 - 44,91841
5,45 - 49,75474
5,50 - 54,70463
5,55 - 59,57769
5,60 - 64,37789
5,65 - 69,25157
5,70 - 74,15190
5,75 - 79,15115
5,80 - 84,10745
5,85+,10508
6 and over,0 - 4,46805
6 and over,5 - 9,42372
6 and over,10 - 14,29005
6 and over,15 - 19,27570
6 and over,20 - 24,31563
6 and over,25 - 29,42243
6 and over,30 - 34,47635
6 and over,35 - 39,50036
6 and over,40 - 44,42015
6 and over,45 - 49,32105
6 and over,50 - 54,28639
6 and over,55 - 59,24621
6 and over,60 - 64,22011
6 and over,65 - 69,19295
6 and over,70 - 74,11226
6 and over,75 - 79,10014
6 and over,80 - 84,7386
6 and over,85+,7216
